76,RUBBISH-HEAP,1,2,2,?,?,?,?,?,?,?,?,?,3,?,?,?,?,2,5
77,SEND: WORK,katwa,**a-ha *ʧia,tuma **i-tuma,?,?,còmá,ì’áikjì,*tuma ku-tuma,cf. ù-tɔ́m,?,?,?,**tornte *lɪ-tuma,tum,rarɛ-tum (v.),?,?,tumam,sù:kù
77,SEND: WORK,1,2,1,?,?,3,4,1,3,?,?,?,1,1,1,?,?,1,4
78,"TRAP, TO SET A",u-tu injan,**a-tsir tarko (n. = H.),*o-gero,?,?,rènà,?,*mage bumai,?,?,?,?,**renkeh-ubuma,?,?,?,?,ta za abaŋ,àzkù
78,"TRAP, TO SET A",1,2,3,?,?,4,?,5,?,?,?,?,4,?,?,?,?,4,4
79,"SEW, TO",u-tunu,**sunzi,duza,?,?,zìlə́,?,*retursa,?,?,*í:-teŋga,?,**torzah,?,?,(má)-táʧè,?,tuza,jìlə̀
79,"SEW, TO",1,2,3,?,?,4,?,5,?,?,6,?,6,?,?,8,?,6,4
80,"SHINE, BE LIGHT, BE WHITE TO","uwaltu, ula, ubo",kenim,"*wuna, *u-ra (n. ?), **u-ruŋ",?,?,?,ìtàshì,"*buka, *u-zebi, **ka buk",?,?,ʧene,?,"**nsah, *rɔmbo (is-)",buk,kane (‘is-’),?,?,anpeze; samte,"àkànà, ə́rmə̂"
80,"SHINE, BE LIGHT, BE WHITE TO",1,2,1,?,?,?,3,1,?,?,4,?,4,1,2,?,?,6,7
81,SING,su avu,**ʃam,*gusa,?,cànànâ,?,zúŋgà,*jikaʃʃi,?,?,?,?,**janeh uwuno,?,?,?,?,sipsa,?
81,SING,1,2,3,?,4,?,5,6,?,?,?,?,6,?,?,?,?,7,?
